,dao_name,cohortmonth,new_users,month_number,retention
0,MetricsDAO,2022-11-01 00:00:00.000,491,-2,1.0
1,MetricsDAO,2022-11-01 00:00:00.000,491,-1,1.0
2,MetricsDAO,2022-11-01 00:00:00.000,491,1,1.0
3,MetricsDAO,2022-11-01 00:00:00.000,491,2,1.0
4,MetricsDAO,2022-11-01 00:00:00.000,491,3,1.0
5,MetricsDAO,2022-11-01 00:00:00.000,491,4,1.0
6,MetricsDAO,2022-11-01 00:00:00.000,491,5,0.287169
7,MetricsDAO,2022-11-01 00:00:00.000,491,6,0.07943
8,MetricsDAO,2022-12-01 00:00:00.000,272,-1,1.0
9,MetricsDAO,2022-12-01 00:00:00.000,272,1,1.0
10,MetricsDAO,2022-12-01 00:00:00.000,272,2,1.0
11,MetricsDAO,2022-12-01 00:00:00.000,272,3,1.0
12,MetricsDAO,2022-12-01 00:00:00.000,272,4,1.0
13,MetricsDAO,2022-12-01 00:00:00.000,272,5,1.0
14,MetricsDAO,2022-12-01 00:00:00.000,272,6,0.077206
15,MetricsDAO,2023-01-01 00:00:00.000,1031,1,1.0
16,MetricsDAO,2023-01-01 00:00:00.000,1031,2,1.0
17,MetricsDAO,2023-01-01 00:00:00.000,1031,3,1.0
18,MetricsDAO,2023-01-01 00:00:00.000,1031,4,1.0
19,MetricsDAO,2023-01-01 00:00:00.000,1031,5,1.0
20,MetricsDAO,2023-01-01 00:00:00.000,1031,6,1.0
