,dao_name,cohortmonth,new_users,month_number,retention
0,Biconomy,2022-11-01 00:00:00.000,1033,-2,1.0
1,Biconomy,2022-11-01 00:00:00.000,1033,-1,1.0
2,Biconomy,2022-11-01 00:00:00.000,1033,1,1.0
3,Biconomy,2022-11-01 00:00:00.000,1033,2,1.0
4,Biconomy,2022-11-01 00:00:00.000,1033,3,1.0
5,Biconomy,2022-11-01 00:00:00.000,1033,4,1.0
6,Biconomy,2022-11-01 00:00:00.000,1033,5,1.0
7,Biconomy,2022-11-01 00:00:00.000,1033,6,1.0
8,Biconomy,2022-11-01 00:00:00.000,1033,7,1.0
9,Biconomy,2022-11-01 00:00:00.000,1033,8,1.0
10,Biconomy,2022-11-01 00:00:00.000,1033,9,1.0
11,Biconomy,2022-11-01 00:00:00.000,1033,10,1.0
12,Biconomy,2022-11-01 00:00:00.000,1033,11,1.0
13,Biconomy,2022-11-01 00:00:00.000,1033,12,1.0
14,Biconomy,2022-11-01 00:00:00.000,1033,13,0.036786
15,Biconomy,2022-11-01 00:00:00.000,1033,14,0.008712
16,Biconomy,2022-12-01 00:00:00.000,455,-1,1.0
17,Biconomy,2022-12-01 00:00:00.000,455,1,1.0
18,Biconomy,2022-12-01 00:00:00.000,455,2,1.0
19,Biconomy,2022-12-01 00:00:00.000,455,3,1.0
20,Biconomy,2022-12-01 00:00:00.000,455,4,1.0
21,Biconomy,2022-12-01 00:00:00.000,455,5,1.0
22,Biconomy,2022-12-01 00:00:00.000,455,6,1.0
23,Biconomy,2022-12-01 00:00:00.000,455,7,1.0
24,Biconomy,2022-12-01 00:00:00.000,455,8,1.0
25,Biconomy,2022-12-01 00:00:00.000,455,9,1.0
26,Biconomy,2022-12-01 00:00:00.000,455,10,1.0
27,Biconomy,2022-12-01 00:00:00.000,455,11,1.0
28,Biconomy,2022-12-01 00:00:00.000,455,12,1.0
29,Biconomy,2022-12-01 00:00:00.000,455,13,1.0
30,Biconomy,2022-12-01 00:00:00.000,455,14,0.028571
31,Biconomy,2023-01-01 00:00:00.000,139,1,1.0
32,Biconomy,2023-01-01 00:00:00.000,139,2,1.0
33,Biconomy,2023-01-01 00:00:00.000,139,3,1.0
34,Biconomy,2023-01-01 00:00:00.000,139,4,1.0
35,Biconomy,2023-01-01 00:00:00.000,139,5,1.0
36,Biconomy,2023-01-01 00:00:00.000,139,6,1.0
37,Biconomy,2023-01-01 00:00:00.000,139,7,1.0
38,Biconomy,2023-01-01 00:00:00.000,139,8,1.0
