,dao_name,cohortmonth,new_users,month_number,retention
0,Biconomy,2022-11-01 00:00:00.000,2005,-2,1.0
1,Biconomy,2022-11-01 00:00:00.000,2005,-1,1.0
2,Biconomy,2022-11-01 00:00:00.000,2005,1,1.0
3,Biconomy,2022-11-01 00:00:00.000,2005,2,1.0
4,Biconomy,2022-11-01 00:00:00.000,2005,3,1.0
5,Biconomy,2022-11-01 00:00:00.000,2005,4,1.0
6,Biconomy,2022-11-01 00:00:00.000,2005,5,1.0
7,Biconomy,2022-11-01 00:00:00.000,2005,6,1.0
8,Biconomy,2022-11-01 00:00:00.000,2005,7,1.0
9,Biconomy,2022-11-01 00:00:00.000,2005,8,1.0
10,Biconomy,2022-11-01 00:00:00.000,2005,9,1.0
11,Biconomy,2022-11-01 00:00:00.000,2005,10,1.0
12,Biconomy,2022-11-01 00:00:00.000,2005,11,1.0
13,Biconomy,2022-11-01 00:00:00.000,2005,12,1.0
14,Biconomy,2022-11-01 00:00:00.000,2005,13,1.0
15,Biconomy,2022-11-01 00:00:00.000,2005,14,0.063342
16,Biconomy,2022-11-01 00:00:00.000,2005,15,0.015461
17,Biconomy,2022-12-01 00:00:00.000,1192,-1,1.0
18,Biconomy,2022-12-01 00:00:00.000,1192,1,1.0
19,Biconomy,2022-12-01 00:00:00.000,1192,2,1.0
20,Biconomy,2022-12-01 00:00:00.000,1192,3,1.0
21,Biconomy,2022-12-01 00:00:00.000,1192,4,1.0
22,Biconomy,2022-12-01 00:00:00.000,1192,5,1.0
23,Biconomy,2022-12-01 00:00:00.000,1192,6,1.0
24,Biconomy,2022-12-01 00:00:00.000,1192,7,1.0
25,Biconomy,2022-12-01 00:00:00.000,1192,8,1.0
26,Biconomy,2022-12-01 00:00:00.000,1192,9,1.0
27,Biconomy,2022-12-01 00:00:00.000,1192,10,1.0
28,Biconomy,2022-12-01 00:00:00.000,1192,11,1.0
29,Biconomy,2022-12-01 00:00:00.000,1192,12,1.0
30,Biconomy,2022-12-01 00:00:00.000,1192,13,1.0
31,Biconomy,2022-12-01 00:00:00.000,1192,14,1.0
32,Biconomy,2022-12-01 00:00:00.000,1192,15,0.031879
33,Biconomy,2023-01-01 00:00:00.000,343,1,1.0
34,Biconomy,2023-01-01 00:00:00.000,343,2,1.0
35,Biconomy,2023-01-01 00:00:00.000,343,3,1.0
36,Biconomy,2023-01-01 00:00:00.000,343,4,1.0
37,Biconomy,2023-01-01 00:00:00.000,343,5,1.0
38,Biconomy,2023-01-01 00:00:00.000,343,6,1.0
39,Biconomy,2023-01-01 00:00:00.000,343,7,1.0
40,Biconomy,2023-01-01 00:00:00.000,343,8,1.0
41,Biconomy,2023-01-01 00:00:00.000,343,9,1.0
42,Biconomy,2023-01-01 00:00:00.000,343,10,1.0
43,Biconomy,2023-01-01 00:00:00.000,343,11,1.0
44,Biconomy,2023-01-01 00:00:00.000,343,12,1.0
45,Biconomy,2023-01-01 00:00:00.000,343,13,1.0
46,Biconomy,2023-01-01 00:00:00.000,343,14,1.0
47,Biconomy,2023-01-01 00:00:00.000,343,15,1.0
0,MetricsDAO,2022-11-01 00:00:00.000,491,-2,1.0
1,MetricsDAO,2022-11-01 00:00:00.000,491,-1,1.0
2,MetricsDAO,2022-11-01 00:00:00.000,491,1,1.0
3,MetricsDAO,2022-11-01 00:00:00.000,491,2,1.0
4,MetricsDAO,2022-11-01 00:00:00.000,491,3,1.0
5,MetricsDAO,2022-11-01 00:00:00.000,491,4,1.0
6,MetricsDAO,2022-11-01 00:00:00.000,491,5,0.287169
7,MetricsDAO,2022-11-01 00:00:00.000,491,6,0.07943
8,MetricsDAO,2022-12-01 00:00:00.000,272,-1,1.0
9,MetricsDAO,2022-12-01 00:00:00.000,272,1,1.0
10,MetricsDAO,2022-12-01 00:00:00.000,272,2,1.0
11,MetricsDAO,2022-12-01 00:00:00.000,272,3,1.0
12,MetricsDAO,2022-12-01 00:00:00.000,272,4,1.0
13,MetricsDAO,2022-12-01 00:00:00.000,272,5,1.0
14,MetricsDAO,2022-12-01 00:00:00.000,272,6,0.077206
15,MetricsDAO,2023-01-01 00:00:00.000,1032,1,1.0
16,MetricsDAO,2023-01-01 00:00:00.000,1032,2,1.0
17,MetricsDAO,2023-01-01 00:00:00.000,1032,3,1.0
18,MetricsDAO,2023-01-01 00:00:00.000,1032,4,1.0
19,MetricsDAO,2023-01-01 00:00:00.000,1032,5,1.0
20,MetricsDAO,2023-01-01 00:00:00.000,1032,6,1.0
