,dao_name,date,new_users_count,existing_users,new_user_percentage
0,Biconomy,2022-10-26,23.0,46.0,33.3333
1,Biconomy,2022-02-06,71.0,167.0,29.8319
2,Biconomy,2022-06-16,25.0,48.0,34.2466
3,Biconomy,2021-12-20,59.0,49.0,54.6296
4,Biconomy,2022-01-02,845.0,919.0,47.9025
5,Biconomy,2022-03-13,41.0,55.0,42.7083
6,Biconomy,2022-09-01,27.0,52.0,34.1772
7,Biconomy,2022-05-03,15.0,41.0,26.7857
8,Biconomy,2022-08-04,22.0,74.0,22.9167
9,Biconomy,2022-04-06,23.0,44.0,34.3284
10,Biconomy,2022-01-29,36.0,29.0,55.3846
11,Biconomy,2022-03-10,27.0,34.0,44.2623
12,Biconomy,2022-11-12,129.0,106.0,54.8936
13,Biconomy,2022-06-13,24.0,40.0,37.5
14,Biconomy,2022-12-28,22.0,53.0,29.3333
15,Biconomy,2022-12-23,22.0,24.0,47.8261
16,Biconomy,2022-10-25,19.0,44.0,30.1587
17,Biconomy,2022-07-20,31.0,50.0,38.2716
18,Biconomy,2022-03-16,269.0,115.0,70.0521
19,Biconomy,2022-10-09,41.0,101.0,28.8732
20,Biconomy,2022-09-30,29.0,61.0,32.2222
21,Biconomy,2022-04-13,29.0,29.0,50.0
22,Biconomy,2022-02-03,145.0,363.0,28.5433
23,Biconomy,2022-03-22,35.0,51.0,40.6977
24,Biconomy,2022-09-06,18.0,43.0,29.5082
25,Biconomy,2022-09-26,14.0,51.0,21.5385
26,Biconomy,2022-09-18,14.0,46.0,23.3333
27,Biconomy,2022-08-08,28.0,55.0,33.7349
28,Biconomy,2022-05-22,22.0,37.0,37.2881
29,Biconomy,2022-09-29,32.0,31.0,50.7937
30,Biconomy,2022-03-05,35.0,45.0,43.75
31,Biconomy,2022-09-13,28.0,38.0,42.4242
32,Biconomy,2022-05-17,15.0,42.0,26.3158
33,Biconomy,2022-10-07,41.0,48.0,46.0674
34,Biconomy,2022-01-08,77.0,83.0,48.125
35,Biconomy,2022-10-14,31.0,52.0,37.3494
36,Biconomy,2022-06-15,23.0,45.0,33.8235
37,Biconomy,2022-08-30,13.0,48.0,21.3115
38,Biconomy,2022-05-01,17.0,25.0,40.4762
39,Biconomy,2022-08-05,32.0,71.0,31.068
40,Biconomy,2022-03-27,24.0,31.0,43.6364
41,Biconomy,2022-07-02,77.0,107.0,41.8478
42,Biconomy,2022-01-24,35.0,40.0,46.6667
43,Biconomy,2023-01-04,18.0,33.0,35.2941
44,Biconomy,2022-06-25,26.0,46.0,36.1111
45,Biconomy,2022-01-28,23.0,25.0,47.9167
46,Biconomy,2022-04-17,37.0,23.0,61.6667
47,Biconomy,2022-06-30,16.0,44.0,26.6667
48,Biconomy,2021-12-04,363.0,156.0,69.9422
49,Biconomy,2022-10-13,22.0,59.0,27.1605
50,Biconomy,2022-01-03,225.0,277.0,44.8207
51,Biconomy,2022-03-07,34.0,62.0,35.4167
52,Biconomy,2022-01-15,47.0,31.0,60.2564
53,Biconomy,2022-02-12,29.0,41.0,41.4286
54,Biconomy,2022-08-02,40.0,157.0,20.3046
55,Biconomy,2022-11-18,72.0,88.0,45.0
56,Biconomy,2022-12-03,29.0,29.0,50.0
57,Biconomy,2022-04-03,53.0,51.0,50.9615
58,Biconomy,2022-12-25,22.0,34.0,39.2857
59,Biconomy,2022-09-15,26.0,45.0,36.6197
60,Biconomy,2022-10-19,16.0,27.0,37.2093
61,Biconomy,2022-03-24,65.0,54.0,54.6218
62,Biconomy,2022-11-21,37.0,38.0,49.3333
63,Biconomy,2022-02-26,50.0,31.0,61.7284
64,Biconomy,2022-10-27,14.0,39.0,26.4151
65,Biconomy,2022-07-22,22.0,40.0,35.4839
66,Biconomy,2022-01-10,45.0,55.0,45.0
67,Biconomy,2022-08-18,25.0,47.0,34.7222
68,Biconomy,2022-11-01,28.0,41.0,40.5797
69,Biconomy,2022-02-13,37.0,55.0,40.2174
70,Biconomy,2022-09-19,12.0,58.0,17.1429
71,Biconomy,2022-02-23,31.0,33.0,48.4375
72,Biconomy,2022-06-14,46.0,47.0,49.4624
73,Biconomy,2022-05-08,31.0,39.0,44.2857
74,Biconomy,2022-01-21,56.0,51.0,52.3364
75,Biconomy,2022-09-02,49.0,126.0,28.0
76,Biconomy,2022-07-29,33.0,76.0,30.2752
77,Biconomy,2022-06-23,28.0,63.0,30.7692
78,Biconomy,2022-03-18,45.0,46.0,49.4505
