,dao_name,date,stickiness_ratio
0,Biconomy,2022-01-01 00:00:00.000,
1,Biconomy,2022-02-01 00:00:00.000,156.5
2,Biconomy,2022-03-01 00:00:00.000,99.290323
3,Biconomy,2022-04-01 00:00:00.000,
4,Biconomy,2022-05-01 00:00:00.000,
5,Biconomy,2022-06-01 00:00:00.000,69.8
6,Biconomy,2022-07-01 00:00:00.000,
7,Biconomy,2022-08-01 00:00:00.000,
8,Biconomy,2022-09-01 00:00:00.000,69.566667
9,Biconomy,2022-10-01 00:00:00.000,
10,Biconomy,2022-11-01 00:00:00.000,134.433333
11,Biconomy,2022-12-01 00:00:00.000,
12,Biconomy,2023-01-01 00:00:00.000,
0,MetricsDAO,2022-07-01 00:00:00.000,
1,MetricsDAO,2022-08-01 00:00:00.000,
2,MetricsDAO,2022-09-01 00:00:00.000,
3,MetricsDAO,2022-10-01 00:00:00.000,
4,MetricsDAO,2022-11-01 00:00:00.000,
5,MetricsDAO,2022-12-01 00:00:00.000,
6,MetricsDAO,2023-01-01 00:00:00.000,
