,Date,Dao Name,Total users,Active users
0,2023-01-06,MetricsDAO,4679,753
1,2023-01-06,MetricsDAO,4679,753
2,2023-01-06,MetricsDAO,4679,753
3,2023-01-06,MetricsDAO,4680,753
4,2023-01-06,Biconomy,11731,1343
5,2023-01-06,MetricsDAO,4680,753
6,2023-01-06,Biconomy,11731,1343
7,2023-01-06,MetricsDAO,4680,802
8,2023-01-06,Biconomy,11728,1445
9,2023-01-06,MetricsDAO,4679,802
10,2023-01-06,Biconomy,11728,1445
11,2023-01-06,MetricsDAO,4679,801
12,2023-01-06,Biconomy,11728,1445
0,2023-01-06,MetricsDAO,4679,801
0,2023-01-06,Biconomy,11728,1445
