,Name,date,SPACE_ID,NUMBER_OF_PROPOSALS,NUMBER_OF_VOTERS,VOTES,RATIO
0,Biconomy,2021-12-05,biconomy.eth,1,1,875,875.0
1,MetricsDAO,2022-11-09,vote.metricsdao.eth,2,8,16,2.0
2,MetricsDAO,2022-09-07,vote.metricsdao.eth,1,5,6,1.2
3,MetricsDAO,2022-11-08,vote.metricsdao.eth,2,1,2,2.0
4,Biconomy,2021-12-08,biconomy.eth,1,2,4000,2000.0
5,Biconomy,2021-12-09,biconomy.eth,1,4,4940,1235.0
6,MetricsDAO,2022-09-22,vote.metricsdao.eth,1,5,5,1.0
7,MetricsDAO,2022-09-23,vote.metricsdao.eth,1,2,2,1.0
8,MetricsDAO,2022-09-19,vote.metricsdao.eth,1,1,1,1.0
9,MetricsDAO,2022-10-13,vote.metricsdao.eth,1,1,1,1.0
10,MetricsDAO,2022-11-17,vote.metricsdao.eth,3,7,21,3.0
11,MetricsDAO,2022-10-12,vote.metricsdao.eth,1,5,5,1.0
12,Biconomy,2021-12-06,biconomy.eth,1,4,3900,975.0
13,MetricsDAO,2022-10-14,vote.metricsdao.eth,1,1,1,1.0
14,Biconomy,2021-12-07,biconomy.eth,1,5,4965,993.0
15,MetricsDAO,2022-09-20,vote.metricsdao.eth,1,4,4,1.0
16,MetricsDAO,2022-09-08,vote.metricsdao.eth,1,5,5,1.0
17,MetricsDAO,2022-09-21,vote.metricsdao.eth,2,8,10,1.25
