,Date,Dao Name,Followers,Following
0,2023-01-06,MetricsDAO,6699,277
1,2023-01-06,Biconomy,86446,851
2,2023-01-06,MetricsDAO,6699,277
3,2023-01-06,Biconomy,86446,851
4,2023-01-06,MetricsDAO,6699,277
5,2023-01-06,Biconomy,86446,851
6,2023-01-06,MetricsDAO,6699,277
7,2023-01-06,Biconomy,86445,851
8,2023-01-06,MetricsDAO,6699,277
9,2023-01-06,Biconomy,86445,851
10,2023-01-06,MetricsDAO,6699,277
11,2023-01-06,Biconomy,86445,851
12,2023-01-06,MetricsDAO,6699,277
13,2023-01-06,Biconomy,86445,851
14,2023-01-06,MetricsDAO,6699,277
15,2023-01-06,Biconomy,86446,851
16,2023-01-06,MetricsDAO,6699,277
17,2023-01-06,Biconomy,86446,851
18,2023-01-06,MetricsDAO,6697,277
19,2023-01-06,Biconomy,86439,851
20,2023-01-06,MetricsDAO,6697,277
21,2023-01-06,Biconomy,86439,851
22,2023-01-06,MetricsDAO,6697,277
23,2023-01-06,Biconomy,86439,851
24,2023-01-06,MetricsDAO,6697,277
25,2023-01-06,Biconomy,86439,851
26,2023-01-08,MetricsDAO,6717,278
27,2023-01-08,Biconomy,86437,850
28,2023-01-08,MetricsDAO,6717,278
29,2023-01-08,Biconomy,86437,850
30,2023-01-08,MetricsDAO,6718,278
31,2023-01-08,Biconomy,86440,850
32,2023-01-08,MetricsDAO,6718,278
33,2023-01-08,Biconomy,86439,850
0,2023-01-08,MetricsDAO,6718,278
0,2023-01-08,Biconomy,86439,850
